name,address,website,guide_path
¡Toma!,"boulevard de la Sauvenière 70 bis, Liège, 4000, Belgium",https://www.toma-restaurant.be/,/belgium/lige/lige/Toma
¿CóMO? Taperia,"201 E. 7th Ave., Vancouver, V5T 0B4, Canada",https://www.comotaperia.com/,/canada/vancouver/vancouver/CmoTaperia
'O Munaciello,"6425 Biscayne Blvd, Miami, FL 33138",https://www.munaciello.com/mimo-district,/usa/florida/miami/OMunaciello
's Paul Restaurant,"Mitterndorf 23, Traunkirchen, 4801, Austria",https://spaul-restaurant.at/,/austria/traunkirchen/traunkirchen/SPaulRestaurant
'Seasgair' by Michel Roux Jr,"Inverlochy Castle, Torlundy, Fort William, PH33 6SN, United Kingdom",https://inverlochycastlehotel.com/dining,/uk/fort-william/fort-william/SeasgairByMichelRouxJr
't Amsterdammertje,"Rijksstraatweg 119, Loenen aan de Vecht, 3632 AB, Netherlands",https://www.restaurantamsterdammertje.nl/,/netherlands/loenen-aan-de-vecht/loenen-aan-de-vecht/TAmsterdammertje
't Arsenaal,"Nieuwe Markt 33, Deventer, 7411 PC, Netherlands",https://www.restaurantarsenaal.nl/,/netherlands/deventer/deventer/TArsenaal
't Fornuis,"Reyndersstraat 24, Antwerpen, 2000, Belgium",https://fornuisantwerpen.be/,/belgium/antwerpen/antwerpen/TFornuis
't Ganzenest,"Delftweg 58a, Rijswijk, 2289 AL, Netherlands",https://ganzenest.nl/nl/,/netherlands/rijswijk/rijswijk/TGanzenest
't Gasthuis by InstroomArt,"Keizerstraat 7, Mechelen, 2800, Belgium",https://www.seppenobels.be,/belgium/mechelen/mechelen/TGasthuisByInstroomart
't Golfje,"Heereweg 22a, Midsland, 8891 HS, Netherlands",https://restaurant-tgolfje.nl/,/netherlands/midsland/midsland/TGolfje
't Havenmantsje,"Havenplein 1, Harlingen, 8861 XA, Netherlands",https://www.havenmantsje.nl/,/netherlands/harlingen/harlingen/THavenmantsje
't Kantientje,"Ramskapellestraat 61, Ramskapelle, 8301, Belgium",https://www.kantientje.be/,/belgium/ramskapelle/ramskapelle/TKantientje
't Korennaer,"Nieuwkerkenstraat 4, Nieuwkerken-Waas, 9100, Belgium",https://www.korennaer.be/nl/,/belgium/nieuwkerken-waas/nieuwkerken-waas/TKorennaer
't Lansink,"C.T. Storkstraat 18, Hengelo, 7553 AR, Netherlands",https://www.hotellansink.nl/,/netherlands/hengelo/hengelo/TLansink
't Nonnetje,"Vischmarkt 38, Harderwijk, 3841 BG, Netherlands",https://www.hetnonnetje.nl/,/netherlands/harderwijk/harderwijk/TNonnetje
't Notenhof,"Meerstraat 113, Londerzeel, 1840, Belgium",https://www.notenhof.be/,/belgium/londerzeel/londerzeel/TNotenhof
't Overhamme,"Brusselsesteenweg 163, Aalst, 9300, Belgium",https://www.toverhamme.be/,/belgium/aalst/aalst/TOverhamme
't Pachthuis,"Gentse Steenweg 264, Zottegem, 9620, Belgium",https://www.tpachthuis.be/,/belgium/zottegem/zottegem/TPachthuis
't Pakhuus,"Haven 8, Oudeschild, 1792 AE, Netherlands",https://pakhuus.com/,/netherlands/oudeschild/oudeschild/TPakhuus
't Pestengasthuys,"Weversgildeplein 1, Zwolle, 8011 XN, Netherlands",https://www.pestengasthuys.nl/,/netherlands/zwolle/zwolle/TPestengasthuys
't Raedthuys,"Rijksweg 51, Duiven, 6921 AC, Netherlands",https://www.raedthuys-duiven.nl/,/netherlands/duiven/duiven/TRaedthuys
't Sleutelgat,"Kasseide 78, Lieferinge, 9400, Belgium",https://restaurant-sleutelgat.be/,/belgium/lieferinge/lieferinge/TSleutelgat
't Spiehuis,"Biltseweg 45, Soest, 3763 LD, Netherlands",https://hetspiehuis.nl/,/netherlands/soest/soest/TSpiehuis
't Stoveke,"Jetsestraat 52, Strombeek-Bever, 1853, Belgium",https://www.tstoveke.be/,/belgium/strombeek-bever/strombeek-bever/TStoveke
't Truffeltje,"Bogaerdstraat 20, Dendermonde, 9200, Belgium",https://truffeltje.be/,/belgium/dendermonde/dendermonde/TTruffeltje
't Vijfde Seizoen,"Stationsstraat 9, Aalter, 9880, Belgium",https://www.tvijfdeseizoen.com/,/belgium/aalter/aalter/TVijfdeSeizoen
't Vlasbloemeken,"Nieuwstraat 8, Koewacht, 4576 AL, Netherlands",https://www.vlasbloemeken.nl/,/netherlands/koewacht/koewacht/TVlasbloemeken
“8” By Andrew Sheridan,"16 Cook Street, Liverpool, L2 9RF, United Kingdom",https://restaurant8.co.uk/,/uk/liverpool/liverpool/8ByAndrewSheridan
[àbitat],"via Henry Dunant 1, San Fermo della Battaglia, 22020, Italy",https://www.abitatproject.it,/italy/san-fermo-della-battaglia/san-fermo-della-battaglia/Bitat
[aend],"Mollardgasse 76, Vienna, 1060, Austria",https://aend.at/,/austria/vienna/vienna/Aend
[bu:r],"via Giuseppe Mercalli 22, Milan, 20122, Italy",https://www.restaurantboer.com,/italy/milan/milan/Bur
[KOOK] 36,"Oberer Stadtplatz 18, Deggendorf, 94469, Germany",https://kook36.de/,/germany/deggendorf/deggendorf/Kook36
[w]einklang,"Johannisstraße 130, Nuremberg, 90402, Germany",https://www.weinklang.co/,/germany/nuremberg/nuremberg/Weinklang
/gu.stà.re/ oltrecucina,"via Antonio Gramsci 20/b, Borgomanero, 28021, Italy",https://www.gustareoltrecucina.it,/italy/borgomanero/borgomanero/GustreOltrecucina
#8,"16F, Grand Hyatt Hotel, 8 South Chunxi Road, Jinjiang, Chengdu, China Mainland",https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/8-1196322,/china/chengdu/chengdu/8
#FindTheLockerRoom (Bar),"406 Thong Lo Rd, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",https://www.google.com/maps/place/406%20Thong%20Lo%20Rd%2C%20Khlong%20Tan%20Nuea%2C%20Watthana%2C%20Bangkok%2010110%2C%20Thailand,/thailand/bangkok/bangkok/FindthelockerroomBar
+61,"96 Rue Mohammed el Beqal, Gueliz, Marrakech, 40000",http://www.plus61.com/,/morocco/marrakech/marrakech/61
+81 Aizome Bar,"259 Montague Rd, West End QLD 4101, Australia",https://www.plus81.com.au/aizome-bar,/australia/brisbane/brisbane/81AizomeBar
+81 Sushi Kappo,"259 Montague Rd, West End QLD 4101, Australia",https://www.plus81.com.au/sushi-kappo,/australia/brisbane/brisbane/81SushiKappo
008 Bar,"11/F, Akyra Hotel, 88/332 Thonglor Rd, , Khlong Tan Nuea, Watthana, , Bangkok, Bangkok 10110",https://www.theakyra.com/bangkok/thonglor/dining/008-bar/,/thailand/bangkok/bangkok/008Bar
1 Pico,"1 Pico Blvd, Santa Monica, CA 90405",https://www.shuttersonthebeach.com/dining/1-pico,/usa/california/los-angeles/1Pico
1 York Place,"1 York Place, Clifton, City of Bristol, BS8 1AH, United Kingdom",https://www.1yorkplace.co.uk/,/uk/city-of-bristol/city-of-bristol/1YorkPlace
10 Tib Lane,"10 Tib Lane, Manchester, M2 4JB, United Kingdom",https://www.10tiblane.com/,/uk/manchester/manchester/10TibLane
10 William St,"10 William St, Paddington NSW 2021, Australia",http://10williamst.com.au,/australia/sydney/sydney/10WilliamSt
100 Mahaseth,"100 Mahaseth Road, Si Phraya, Bang Rak, Bangkok, 10500, Thailand",https://www.100mahaseth.com,/thailand/bangkok/bangkok/100Mahaseth
100 Maneiras,"Rua do Teixeira 39, Lisbon, 1200-459, Portugal",https://www.100maneiras.com/,/portugal/lisbon/lisbon/100Maneiras
100 Queen's Gate Hotel,"100 Queen's Gate, South Kensington, London,SW7 5AG",https://www.afternoontea.co.uk/uk/london/kensington-chelsea/100-queens-gate-hotel/,/uk/london/kensington-chelsea/100QueensGateHotel
100.1.Pyeongnaeng,"29 Namcheonbada-ro 10 beon-gil, Suyeong-gu, Busan, 48314, South Korea",https://guide.michelin.com/en/busan-region/busan_1025838/restaurant/100-1-pyeongnaeng,/usa/other/busan/1001pyeongnaeng
100/200 Kitchen,"Brandshofer Deich 68, Hamburg, 20539, Germany",https://100200.kitchen/,/germany/hamburg/hamburg/100200Kitchen
1010 Bridge,"1010 Bridge Rd, Charleston, WV 25314",http://www.1010bridge.com,/usa/west-virginia/charleston/1010Bridge
1010 Wine,"1010 N La Brea Ave, Inglewood, CA 90302, USA",https://1010wineandevents.com,/usa/california/los-angeles/1010Wine
