THE EPICUREAN · PINS FAR FROM THE CITY THEY CLAIM
Generated 2026-09-10

A city's position is taken as the median of its own pins, which a few bad ones
cannot drag. These sit more than 60 km from that, in cities holding at least
4 pins. Some are the record's fault rather than the geocoder's: the Inn at
Little Washington really is 101 km from Washington D.C, because it is in
Washington, Virginia and the record says otherwise.

  109 suspect of 28,031 pins
  2 moved closer, 107 left where they were

────────────────────────────────────────────────────────────────────────────────────────────────────
RESTAURANT                      CITY                WAS      NOW      SOURCE
────────────────────────────────────────────────────────────────────────────────────────────────────
ZU Bakery                       Portland            4080 km  —        bakery
Complexity Wine                 Lancaster           3704 km  —        tertiary
Adventures Decanted             Winter Park         2561 km  —        house
High Steaks Steakhouse          Lincoln             2106 km  —        hotel
Thompson House Eatery           Jackson             2100 km  —        house
Smoke'N Ash BBQ                 Arlington           1931 km  1931 km  house
Animalón                        Valle de Guadalupe  1838 km  —        city
Conchas de Piedra               Valle de Guadalupe  1838 km  —        city
Lunario                         Valle de Guadalupe  1838 km  —        city
Buccan                          Palm Beach          1812 km  —        bus_stop
Cafe L'Europe                   Palm Beach          1812 km  —        bus_stop
Big Easy Ranch Camellia Grill   Columbus            1672 km  —        census
Bellisio's Italian Restaurant & Duluth              1573 km  —        house
Pierre's                        The Hamptons        1301 km  —        city
The Wild Sage                   Jackson             1207 km  —        house
DUSK                            Stellenbosch        1107 km  —        residential
Cielito                         Burlington          1074 km  —        house
Epic Restaurant                 Columbus            850 km   —        residential
Shotgun Willie's BBQ            Madison             792 km   —        primary
The Fortunate Glass             Wilmington          639 km   —        house
Seabird                         Wilmington          639 km   —        house
Manna                           Wilmington          639 km   —        house
Laury’s Restaurant              Charleston          637 km   —        station
1010 Bridge                     Charleston          636 km   —        tertiary
CATCH Restaurant                Wilmington          633 km   —        house
Little Fish Brewing Company     Athens              608 km   —        house
Hell's Backbone Grill & Farm    Boulder             581 km   —        photon
KŌEN                            Maldives            501 km   —        photon
Gatsby's                        Warren              485 km   —        hotel
The Grand Resort                Warren              485 km   —        hotel
The Garden Room                 Washington          437 km   —        hotel
The Tap Room                    Washington          437 km   —        hotel
La Cabrera                      Buenos Aires        396 km   395 km   residential
RADA                            Charlottesville     377 km   —        tertiary
Albertine                       Charlottesville     375 km   —        primary
The Hackney                     Washington          374 km   —        residential
MOA Korean BBQ & Bar            Charlottesville     373 km   —        commercial
Leaf Restaurant                 Maldives            368 km   —        school
The Main Dining Room            Warren              361 km   —        hotel
Kebec Club Privé                Québec City         323 km   —        tertiary
Duke of Richmond Hotel          Guernsey            317 km   —        -
Longueville Manor               Jersey              299 km   —        city
Santa Elisabetta                Florence            298 km   —        square
The Whale Bar                   Maldives            252 km   —        photon
Kochi                           New York            222 km   —        residential
Skeabost House Hotel            Rest of Scotland    214 km   —        -
Kamezí                          Las Palmas          200 km   —        residential
Alizée                          Maldives            193 km   —        city
Aragu                           Maldives            193 km   —        islet
H2O by Berton                   Maldives            193 km   —        city
Jing Restaurant                 Maldives            193 km   —        city
Latitude 5.5                    Maldives            193 km   —        city
Le 1947                         Maldives            193 km   —        city
M6M Minus Six Meters            Maldives            193 km   —        city
Sea Underwater Restaurant       Maldives            193 km   —        city
Subsix                          Maldives            193 km   —        city
The Crab Shack                  Maldives            193 km   —        city
Anecdote                        Montreuil           184 km   —        -
Glenapp Castle Hotel            Rest of Scotland    175 km   —        -
Cally Palace Hotel              Rest of Scotland    175 km   —        -
Ithaa Undersea Restaurant       Maldives            170 km   —        photon
akordu                          Nara                169 km   —        photon
Mel The Bakery                  New York            169 km   —        yes
Twr y Felin Hotel               South Wales         150 km   —        -
Grasing’s                       Carmel-By-The-Sea   143 km   —        census
Vakkaru Reserve                 Maldives            142 km   —        photon
Li Long                         Maldives            134 km   —        archipelago
Palace Hotel & Spa, Inverness   Rest of Scotland    132 km   —        -
Terra                           Maldives            128 km   —        hotel
The Ledge by Dave Pynt          Maldives            128 km   —        photon
The Airds Hotel & Restaurant    Rest of Scotland    126 km   —        -
Estela                          San Juan            125 km   —        residential
Ozen Reserve Bolifushi          Maldives            119 km   —        islet
Malmaison Aberdeen              Rest of Scotland    114 km   —        -
The Restaurant at Blue Rock     Washington          104 km   —        hotel
The Inn at Little Washington    Washington D.C      101 km   —        secondary
Patty O's Cafe & Bakery         Washington          100 km   —        restaurant
Dear Phangan                    Surat Thani         98 km    —        -
Crux Cocina                     Mendoza             90 km    —        -
Le Jasmine                      Casablanca          89 km    —        photon
