name,address,city,country,site_link,source_url
1 Pico,"1 Pico Blvd, Santa Monica, CA 90405",Los Angeles,United States,https://www.shuttersonthebeach.com/dining/1-pico,https://thebestrestaurantsguide.com/restaurants/1-pico
10 William St,"10 William St, Paddington NSW 2021, Australia",Sydney,Australia,http://10williamst.com.au,https://thebestrestaurantsguide.com/restaurants/10-william-st
100/200 Kitchen,"Brandshofer Deich 68, 20539 Hamburg, Germany",Hamburg,Germany,https://100200.kitchen,https://thebestrestaurantsguide.com/restaurants/100-200-kitchen
1010 Bridge,"1010 Bridge Rd, Charleston, WV 25314",Charleston,United States,http://www.1010bridge.com,https://thebestrestaurantsguide.com/restaurants/1010-bridge
1010 Wine,"1010 N La Brea Ave, Inglewood, CA 90302, USA",Los Angeles,United States,https://1010wineandevents.com,https://thebestrestaurantsguide.com/restaurants/1010-wine
102 House,"506 The House of Roosevelt, No.27 Zhongshan East 1st Road, Shanghai, China",Shanghai,China,https://www.google.com/maps/place/506%20The%20House%20of%20Roosevelt%2C%20No.27%20Zhongshan%20East%201st%20Road%2C%20Shanghai%2C%20China,https://thebestrestaurantsguide.com/restaurants/102-house
11 Woodfire,"Villa 11, 75B Street, Jumeirah 1, Dubai",Dubai,United Arab Emirates,http://www.11woodfire.com,https://thebestrestaurantsguide.com/restaurants/11-woodfire
114 Faubourg,"114 Rue du Faubourg Saint-Honoré, 75008 Paris, France",Paris,France,https://www.oetkercollection.com/hotels/le-bristol-paris/restaurants-bar/restaurants/114-faubourg,https://thebestrestaurantsguide.com/restaurants/114-faubourg
116 at The Athenaeum ,"116 Piccadilly, London W1J 7BJ, United Kingdom",London,United Kingdom,https://www.athenaeumhotel.com/restaurant-bar/116-at-the-athenaeum,https://thebestrestaurantsguide.com/restaurants/116-at-the-athenaeum
11e CAVE,"Kingston Shops, 39 Kennedy St, Kingston ACT 2604, Australia",Canberra,Canberra,https://www.onzieme.com.au/11e-cave,https://thebestrestaurantsguide.com/restaurants/11e-cave
Casa Perbellini 12 Apostoli,"vicolo Corticella San Marco 3, Verona, 37121, Italy",Verona,Italy,https://www.casaperbellini.com,https://thebestrestaurantsguide.com/restaurants/12-apostoli
12 Fountains | Dodici Fontane,"contrada Arrigo, 95015 Linguaglossa CT, Italy",Linguaglossa,Italy,https://www.nerietna.com/12-fontane-ristorante,https://thebestrestaurantsguide.com/restaurants/12-fountains-or-dodici-fontane
1215 Restaurant,"Bishopsgate Rd, Englefield Green, Windsor TW20 0YL, UK",Windsor,United Kingdom,https://www.fairmont-windsorpark.com/restaurant/1215-restaurant,https://thebestrestaurantsguide.com/restaurants/1215-restaurant
13C Bar in the back,"Arar St 129, Amman, Jordan",Amman,Jordan,https://13c.wine,https://thebestrestaurantsguide.com/restaurants/13c-bar-in-the-back
1515 West Chophouse & Bar,"Level 4,1218 Middle Yan'an Road, Jing An Kerry Centre, West Nanjing Road, Shanghai, China",Shanghai,China,https://www.shangri-la.com/shanghai/jinganshangrila/dining/restaurants/the-1515-west-chophouse-and-bar,https://thebestrestaurantsguide.com/restaurants/1515-west-chophouse-and-bar
1587 Prime,"1500 Baltimore Ave, Kansas City, MO 64108",Kansas City,United States,https://1587prime.com,https://thebestrestaurantsguide.com/restaurants/1587-prime
1700 Degrees Steakhouse,"One N 2nd St, Harrisburg, PA 17101",Harrisburg,United States,https://1700restaurant.com,https://thebestrestaurantsguide.com/restaurants/1700-degrees-steakhouse
1741,"22 Quai des Bateliers, 67000 Strasbourg, France",Strasbourg,France,http://www.1741.fr,https://thebestrestaurantsguide.com/restaurants/1741
