uid,name,type,city,country,address,lat,lng,phone,website,price,hours,bio,source_url
1555814,Potato Head Beach Club,Bar,Bali,Indonesia,"Jl. Petitenget No. 51B, Seminyak, Bali, 80361",-8.680293936475097,115.1492107813037,+62 361 4737979,https://www.ptthead.com/bali/,Average price per cocktail $9,All day: Mon – Sun,"Faced by ocean sunsets and encircled by an amphitheatre-style curve of antique shutters, the Potato Head has become a Bali destination for balanced and perfecte",https://www.the50.com/discovery/Establishments/Indonesia/Bali/Potato-Head-Beach-Club.html
1555824,Blind Pig,Bar,Manila,Philippines,"227 Salcedo, Legazpi Village, Manila, 1200",14.553100762522657,121.01607382404772,+63 917 549 2264,http://www.blindpig.ph/Blind_Pig/,Average price per cocktail $11,Evening: Mon – Sun,"The father of Philippine speakeasies, Blind Pig opened back in 2011, inspired by New York’s original Milk & Honey. Taking that cue, the inside is just as dimly",https://www.the50.com/discovery/Establishments/Philippines/Manila/Blind-Pig.html
1555833,Lost & Found,Bar,Nicosia,Cyprus,"38 Lord Byron Street, Nicosia, 1096",35.16532162853722,33.351221084528134,,,Average price per cocktail $10,Evening: Mon – Sat,"When it opened in 2013, this creation by Dinos Constantinides put Cyprus on the map for cocktails, and it's gone from strength to strength ever since, appearing",https://www.the50.com/discovery/Establishments/Cyprus/Nicosia/Lost-and-Found.html
1555871,Bamboo Bar,Bar,Hanoi,Vietnam,"Sofitel Legend Metropole Hanoi, 15 Phố Ngô Quyền, Hoàn Kiếm, Hanoi, 100000",21.024686055140595,105.8505031084695,+84 24 3826 6919,https://www.sofitel-legend-metropole-hanoi.com/dining/bamboo-bar,Average price per cocktail $10,All day: Mon – Sun,"Bamboo Bar is a serious upgrade for your usual poolside drinks dispensary, as you'd expect from one of Hanoi's most luxurious hotels, the award-winning colonial",https://www.the50.com/discovery/Establishments/Vietnam/Hanoi/Bamboo-Bar.html
1555964,The Sailing Bar,Bar,Nara,Japan,"564-3 SHR Building 5F, Kibi, Nara, 633-0065",34.50837050100375,135.83412791448157,+81 744 49 0040,http://www.sailing-bar.com/,,Evening: Mon – Sun,"Despite retaining the most traditional feel of Japan’s big cities, the former capital of Nara is home to some fantastic bars. This long and dimly lit venue is a",https://www.the50.com/discovery/Establishments/Japan/Nara/The-Sailing-Bar.html
1555994,The Blind Tiger,Bar,Yangon,Myanmar (Burma),"93/95, Ground Floor, Seik Kan Thar Road, Kyauktada, Yangon,",16.772002024676976,96.16058541407732,+95 9 786 833847,http://blindtiger-yangon.com/,Average price per cocktail $5,Afternoon and evening: Mon – Sat,The Blind Tiger is a laid-back drinking den where guests can choose from a selection of twisted classics (anyone for a ‘Curry Margarita’?) or a choice of origin,https://www.the50.com/discovery/Establishments/Myanmar/Yangon/The-Blind-Tiger.html
1556006,Lamp Bar,Bar,Nara,Japan,"26 Tsunofurichō, 1F Iseya Building, Tsunofurichō, Nara, 630-8224",34.682408591706825,135.82509881448698,+81 742 24 2200,,Average price per cocktail $15,Evening: Mon – Sun,"Back in 2015, Michito Kaneko was named the world’s best bartender at the Diageo Reserve World Class cocktail competition. His own place, set in the quiet city o",https://www.the50.com/discovery/Establishments/Japan/Nara/Lamp-Bar.html
1556011,The Pot Still,Bar,Glasgow,UK,"154 Hope Street, City Centre, Glasgow, G2 2TH",55.862915990962236,-4.259905284663438,+44 141 333 0980,https://thepotstill.co.uk/,Average price per cocktail $8,All day: Mon – Sun,"If you happen to get caught in one of Glasgow's infamous rain showers, then you won't find a better place to seek shelter than The Pot Still. Serving cask ales",https://www.the50.com/discovery/Establishments/UK/Glasgow/The-Pot-Still.html
1556016,Savile Row,Bar,Brisbane,Australia,"667 Ann Street, Fortitude Valley, Brisbane, Queensland, 4006",-27.45841922279585,153.03322901447345,,https://savilerowbar.com.au/,Average price per cocktail $14,Evening: Mon – Sun,"Inspired by the street in London's Mayfair dedicated to bespoke tailoring, Savile Row is as stylish as you might expect. More than 900 types of spirits are pack",https://www.the50.com/discovery/Establishments/Australia/Brisbane/Savile-Row.html
1556035,La Factoría,Bar,San Juan,Puerto Rico,"148 Calle San Sebastián, Old San Juan, San Juan, 00901",18.4671834756265,-66.11970588589746,+1 787 412 4251,,Average price per cocktail $15,Mon – Sun,"La Factoría turned five in 2018, with founders Roberto Berdecia, Leslie Cofresí and Pablo Rodríguez, having much to celebrate, including three consecutive years",https://www.the50.com/discovery/Establishments/Puerto-Rico/San-Juan/La-Factoría.html
1556056,L'Fleur,Bar,Prague,Czech Republic,"V Kolkovně 920/5, Old Town, Prague, 110 00",50.08947565633557,14.421378838097086,+420 734 255 665,https://www.instagram.com/lfleurbar/#,Average price per cocktail $10,Evening: Mon – Sun,"Within Prague's Old Town is L'Fleur, where cocktails and wine (champagne in particular) are given equal prominence. The interior features exposed brickwork and",https://www.the50.com/discovery/Establishments/Czech-Republic/Prague/LFleur.html
1556143,Hope & Sesame,Bar,Guangzhou,China,"MiaoQian Xijie 58, DongshanKou, Guangzhou, 510000",23.2464168,113.5092318,+86 188 1935 3461,http://hopeandsesamegz.com/,Average price per cocktail $18,Evening: Mon – Sun,"With its claim to fame as Guangzhou’s first speakeasy, Hope & Sesame is tucked away behind a traditional Cantonese café – and is a new entry on Asia’s 50 Best B",https://www.the50.com/discovery/Establishments/China/Guangzhou/Hope-and-Sesame.html
1556176,Super Panda Circus,Bar,Brno,Czech Republic,"Šilingrovo nám 257/3, Brno-střed, Brno, 602 00",49.19259778507134,16.602963315031925,+420 734 878 603,https://www.superpandacircus.cz/,Average price per cocktail $9,Evening: Mon – Sat,"As the surreal name suggests, at Super Panda Circus you can expect the unexpected. The team states that they don't have a menu, rather there are a selection of",https://www.the50.com/discovery/Establishments/Czech-Republic/Brno/Super-Panda-Circus.html
1556209,Motel Mexicola,Bar,Bali,Indonesia,"Jl. Kayu Jati Jl. Petitenget No.9X, Seminyak, Bali, 80361",-8.682218390807686,115.15167721405999,+62 361 736688,https://www.motelmexicola.info/,Average price per cocktail $9,All day: Mon – Sun,"Motel Mexicola brings a touch of Latin magic to Seminyak, with a choice of tacos, churros, nachos, aguas frescas and those all-important agave spirits. It's a s",https://www.the50.com/discovery/Establishments/Indonesia/Bali/Motel-Mexicola.html
1556245,Hunky Dory Bar,Bar,Frankfurt,Germany,"Baseler Straße 10, Bahnhofsviertel, Frankfurt, 60329",50.10390582015616,8.663470415071712,+49 69 272 40 111,http://hunkydorybar.com/,Average price per cocktail $16,Evening: Tue – Sat,"Frankfurt's red-light district has developed quite the bar scene. Hunky Dory was founded Armin Azadpour, an alumnus of nearby establishment The Kinly Bar, who t",https://www.the50.com/discovery/Establishments/Germany/Frankfurt/Hunky-Dory-Bar.html
1556276,L'Antiquario,Bar,Naples,Italy,"Via Vannella Gaetani, 2, Chiaia, Naples, 80121 Napoli NA",40.83294763814558,14.240038914696692,+39 081 764 5390,,Average price per cocktail $14,Evening: Mon – Sun,"For those in Napoli who take their cocktails seriously, L’Antiquario is a moody, speakeasy-inspired den that stirs up some of the best in the city. Wrapped in a",https://www.the50.com/discovery/Establishments/Italy/Naples/LAntiquario.html
1556295,Anvil Bar & Refuge,Bar,Houston,US,"1424 Westheimer Road, Montrose, Houston, TX 77006",29.743100639701396,-95.39905618565686,+1 713 523 1622,http://www.anvilhouston.com/,Average price per cocktail $11,Evening: Mon – Sun,"Bobby Heugel’s first Houston bar, which arguably launched the city’s now thriving drinks scene, has been around for some time, yet has remained the number-one s",https://www.the50.com/discovery/Establishments/US/Houston/Anvil-Bar-and-Refuge.html
1556297,Herbs & Rye,Bar,Las Vegas,US,"3713 West Sahara Avenue, Richfield, Las Vegas, NV 89102",36.14404171205943,-115.19397548546618,+1 702 982 8036,http://www.herbsandrye.com/,Average price per cocktail $10,Evening: Mon – Sat,"Don’t judge a book by its cover. Herbs & Rye’s location looks like a generic strip mall from the outside, but the stylish speakeasy bar within is far from gener",https://www.the50.com/discovery/Establishments/US/Las-Vegas/Herbs-and-Rye.html
